Statei,Action,Staten,xcmi,ycmi,xcmn,ycmn,thetai,thetan
1,0,5,2.2500000000e+02,2.2500000000e+02,2.2474763923e+02,2.2465642951e+02,0.0000000000e+00,-1.2298863593e+00
5,1,7,2.2474763923e+02,2.2465642951e+02,2.2428437584e+02,2.2432269051e+02,-1.2298863593e+00,-1.9676190413e+00
7,0,3,2.2428437584e+02,2.2432269051e+02,2.2459940345e+02,2.2458318645e+02,-1.9676190413e+00,-7.5879069930e-01
3,1,1,2.2459940345e+02,2.2458318645e+02,2.2482530443e+02,2.2516489578e+02,-7.5879069930e-01,-1.8070971030e-02
1,1,3,2.2482530443e+02,2.2516489578e+02,2.2459910439e+02,2.2458324369e+02,-1.8070971030e-02,-7.5870419387e-01
3,2,2,2.2459910439e+02,2.2458324369e+02,2.2481397829e+02,2.2485120146e+02,-7.5870419387e-01,-4.9130576012e-01
2,0,6,2.2481397829e+02,2.2485120146e+02,2.2443700018e+02,2.2465296510e+02,-4.9130576012e-01,-1.7210435909e+00
6,2,7,2.2443700018e+02,2.2465296510e+02,2.2414093203e+02,2.2446376673e+02,-1.7210435909e+00,-2.0009256139e+00
7,0,3,2.2414093203e+02,2.2446376673e+02,2.2446445954e+02,2.2471362765e+02,-2.0009256139e+00,-7.9209727187e-01
3,0,7,2.2446445954e+02,2.2471362765e+02,2.2414122026e+02,2.2446386306e+02,-7.9209727187e-01,-2.0008375927e+00
7,0,3,2.2414122026e+02,2.2446386306e+02,2.2446472578e+02,2.2471375245e+02,-2.0008375927e+00,-7.9200925067e-01
3,2,2,2.2446472578e+02,2.2471375245e+02,2.2468840321e+02,2.2497440656e+02,-7.9200925067e-01,-5.2461081692e-01
2,1,0,2.2468840321e+02,2.2497440656e+02,2.2510111185e+02,2.2536913875e+02,-5.2461081692e-01,2.1299308872e-01
0,2,1,2.2510111185e+02,2.2536913875e+02,2.2485231568e+02,2.2512157700e+02,2.1299308872e-01,-6.6861960840e-02
1,2,0,2.2485231568e+02,2.2512157700e+02,2.2510127483e+02,2.2536989872e+02,-6.6861960840e-02,2.1314421089e-01
0,0,4,2.2510127483e+02,2.2536989872e+02,2.2478723439e+02,2.2510764500e+02,2.1314421089e-01,-9.9561752751e-01
4,1,6,2.2478723439e+02,2.2510764500e+02,2.2417388616e+02,2.2499180762e+02,-9.9561752751e-01,-1.7364599310e+00
6,1,4,2.2417388616e+02,2.2499180762e+02,2.2478752514e+02,2.2510817110e+02,-1.7364599310e+00,-9.9567329846e-01
4,1,6,2.2478752514e+02,2.2510817110e+02,2.2417417044e+02,2.2499236793e+02,-9.9567329846e-01,-1.7365157020e+00
6,1,4,2.2417417044e+02,2.2499236793e+02,2.2478781592e+02,2.2510869719e+02,-1.7365157020e+00,-9.9572906941e-01
4,0,0,2.2478781592e+02,2.2510869719e+02,2.2510143157e+02,2.2537032722e+02,-9.9572906941e-01,2.1307218929e-01
0,1,2,2.2510143157e+02,2.2537032722e+02,2.2468739559e+02,2.2497581480e+02,2.1307218929e-01,-5.2458972969e-01
2,0,6,2.2468739559e+02,2.2497581480e+02,2.2430402940e+02,2.2479023324e+02,-5.2458972969e-01,-1.7543275605e+00
6,0,2,2.2430402940e+02,2.2479023324e+02,2.2468786581e+02,2.2497557039e+02,-1.7543275605e+00,-5.2448591969e-01
2,1,0,2.2468786581e+02,2.2497557039e+02,2.2510052515e+02,2.2537035412e+02,-5.2448591969e-01,2.1311798595e-01
0,2,1,2.2510052515e+02,2.2537035412e+02,2.2485175989e+02,2.2512276130e+02,2.1311798595e-01,-6.6737063610e-02
1,0,5,2.2485175989e+02,2.2512276130e+02,2.2457704903e+02,2.2479678495e+02,-6.6737063610e-02,-1.2966234229e+00
5,2,4,2.2457704903e+02,2.2479678495e+02,2.2488464963e+02,2.2494918123e+02,-1.2966234229e+00,-1.0291474617e+00
4,0,0,2.2488464963e+02,2.2494918123e+02,2.2520683181e+02,2.2520018660e+02,-1.0291474617e+00,1.7965379698e-01
0,1,2,2.2520683181e+02,2.2520018660e+02,2.2477984549e+02,2.2481972829e+02,1.7965379698e-01,-5.5800812200e-01
2,1,0,2.2477984549e+02,2.2481972829e+02,2.2520550453e+02,2.2520045956e+02,-5.5800812200e-01,1.7959578364e-01
0,2,1,2.2520550453e+02,2.2520045956e+02,2.2494858073e+02,2.2496134344e+02,1.7959578364e-01,-1.0025926592e-01
1,0,5,2.2494858073e+02,2.2496134344e+02,2.2466309881e+02,2.2464475742e+02,-1.0025926592e-01,-1.3301456252e+00
5,1,7,2.2466309881e+02,2.2464475742e+02,2.2416875742e+02,2.2435906305e+02,-1.3301456252e+00,-2.0678783072e+00
7,1,5,2.2416875742e+02,2.2435906305e+02,2.2466343413e+02,2.2464545800e+02,-2.0678783072e+00,-1.3302986790e+00
5,1,7,2.2466343413e+02,2.2464545800e+02,2.2416904902e+02,2.2435983929e+02,-1.3302986790e+00,-2.0680313610e+00
7,0,3,2.2416904902e+02,2.2435983929e+02,2.2450860288e+02,2.2458744357e+02,-2.0680313610e+00,-8.5920301902e-01
