Statei,Action,Staten,xcmi,ycmi,xcmn,ycmn,thetai,thetan
3,0,7,2.2500000000e+02,2.2500000000e+02,2.2495076100e+02,2.2459448613e+02,0.0000000000e+00,-1.2087403208e+00
7,1,5,2.2495076100e+02,2.2459448613e+02,2.2505694853e+02,2.2515613667e+02,-1.2087403208e+00,-4.7116069260e-01
5,0,1,2.2505694853e+02,2.2515613667e+02,2.2500401695e+02,2.2557836448e+02,-4.7116069260e-01,7.5862284520e-01
1,1,3,2.2500401695e+02,2.2557836448e+02,2.2525037780e+02,2.2500496066e+02,7.5862284520e-01,1.7989622360e-02
3,1,1,2.2525037780e+02,2.2500496066e+02,2.2500371395e+02,2.2557817435e+02,1.7989622360e-02,7.5870935063e-01
1,2,0,2.2500371395e+02,2.2557817435e+02,2.2499004201e+02,2.2592953942e+02,7.5870935063e-01,1.0387155224e+00
0,0,4,2.2499004201e+02,2.2592953942e+02,2.2496981903e+02,2.2552089601e+02,1.0387155224e+00,-1.7004621604e-01
4,2,5,2.2496981903e+02,2.2552089601e+02,2.2488384670e+02,2.2518841619e+02,-1.7004621604e-01,-4.3742548492e-01
5,0,1,2.2488384670e+02,2.2518841619e+02,2.2481670400e+02,2.2560861843e+02,-4.3742548492e-01,7.9235805288e-01
1,0,5,2.2481670400e+02,2.2560861843e+02,2.2488413023e+02,2.2518769048e+02,7.9235805288e-01,-4.3752830642e-01
5,0,1,2.2488413023e+02,2.2518769048e+02,2.2481703073e+02,2.2560789963e+02,-4.3752830642e-01,7.9225523138e-01
1,2,0,2.2481703073e+02,2.2560789963e+02,2.2479158185e+02,2.2595860847e+02,7.9225523138e-01,1.0722614031e+00
0,1,2,2.2479158185e+02,2.2595860847e+02,2.2481996446e+02,2.2538741649e+02,1.0722614031e+00,3.3459948413e-01
2,2,3,2.2481996446e+02,2.2538741649e+02,2.2487084694e+02,2.2504791865e+02,3.3459948413e-01,6.7195279020e-02
3,2,2,2.2487084694e+02,2.2504791865e+02,2.2481951783e+02,2.2538753237e+02,6.7195279020e-02,3.3459371277e-01
