Statei,Action,Staten,xcmi,ycmi,xcmn,ycmn,thetai,thetan
0,0,4,2.2500000000e+02,2.2500000000e+02,2.2463759052e+02,2.2481011115e+02,0.0000000000e+00,-1.2087617384e+00
4,1,6,2.2463759052e+02,2.2481011115e+02,2.2401361841e+02,2.2482663910e+02,-1.2087617384e+00,-1.9496041419e+00
6,0,2,2.2401361841e+02,2.2482663910e+02,2.2442612206e+02,2.2493397494e+02,-1.9496041419e+00,-7.1976250110e-01
2,1,0,2.2442612206e+02,2.2493397494e+02,2.2490754141e+02,2.2524118388e+02,-7.1976250110e-01,1.7841404540e-02
0,1,2,2.2490754141e+02,2.2524118388e+02,2.2442483828e+02,2.2493448610e+02,1.7841404540e-02,-7.1982051444e-01
2,2,3,2.2442483828e+02,2.2493448610e+02,2.2415472851e+02,2.2472261697e+02,-7.1982051444e-01,-9.8722471955e-01
3,0,7,2.2415472851e+02,2.2472261697e+02,2.2378919611e+02,2.2454026555e+02,-9.8722471955e-01,-2.1959650403e+00
7,2,6,2.2378919611e+02,2.2454026555e+02,2.2411570866e+02,2.2466872320e+02,-2.1959650403e+00,-1.9161340112e+00
6,0,2,2.2411570866e+02,2.2466872320e+02,2.2452438940e+02,2.2478980290e+02,-1.9161340112e+00,-6.8629237043e-01
2,0,6,2.2452438940e+02,2.2478980290e+02,2.2411614596e+02,2.2466836386e+02,-6.8629237043e-01,-1.9160302012e+00
6,0,2,2.2411614596e+02,2.2466836386e+02,2.2452481413e+02,2.2478948598e+02,-1.9160302012e+00,-6.8618856043e-01
2,2,3,2.2452481413e+02,2.2478948598e+02,2.2426198134e+02,2.2456865405e+02,-6.8618856043e-01,-9.5359276554e-01
3,1,1,2.2426198134e+02,2.2456865405e+02,2.2459621247e+02,2.2509563275e+02,-9.5359276554e-01,-2.1287303727e-01
1,2,0,2.2459621247e+02,2.2509563275e+02,2.2487865156e+02,2.2530509038e+02,-2.1287303727e-01,6.7133134460e-02
0,2,1,2.2487865156e+02,2.2530509038e+02,2.2459651583e+02,2.2509631829e+02,6.7133134460e-02,-2.1272191510e-01
1,0,5,2.2459651583e+02,2.2509631829e+02,2.2427730827e+02,2.2481377064e+02,-2.1272191510e-01,-1.4426082744e+00
5,1,7,2.2427730827e+02,2.2481377064e+02,2.2375402751e+02,2.2458535889e+02,-1.4426082744e+00,-2.1803409564e+00
