Statei,Action,Staten,xcmi,ycmi,xcmn,ycmn,thetai,thetan
6,0,2,2.2500000000e+02,2.2500000000e+02,2.2474772437e+02,2.2534356549e+02,0.0000000000e+00,1.2298416408e+00
2,1,0,2.2474772437e+02,2.2534356549e+02,2.2428425947e+02,2.2567724530e+02,1.2298416408e+00,1.9674455464e+00
0,0,4,2.2428425947e+02,2.2567724530e+02,2.2459941510e+02,2.2541633279e+02,1.9674455464e+00,7.5868380804e-01
4,1,6,2.2459941510e+02,2.2541633279e+02,2.2482522944e+02,2.2483442021e+02,7.5868380804e-01,1.7841404540e-02
6,1,4,2.2482522944e+02,2.2483442021e+02,2.2459884477e+02,2.2541652265e+02,1.7841404540e-02,7.5862803709e-01
4,2,5,2.2459884477e+02,2.2541652265e+02,2.2481361498e+02,2.2514855282e+02,7.5862803709e-01,4.9124876821e-01
5,0,1,2.2481361498e+02,2.2514855282e+02,2.2443689431e+02,2.2534644068e+02,4.9124876821e-01,1.7210323060e+00
1,2,0,2.2443689431e+02,2.2534644068e+02,2.2414077658e+02,2.2553606828e+02,1.7210323060e+00,2.0010384777e+00
0,0,4,2.2414077658e+02,2.2553606828e+02,2.2446451756e+02,2.2528588798e+02,2.0010384777e+00,7.9227673934e-01
4,0,0,2.2446451756e+02,2.2528588798e+02,2.2414144925e+02,2.2553575178e+02,7.9227673934e-01,2.0010779980e+00
0,0,4,2.2414144925e+02,2.2553575178e+02,2.2446520012e+02,2.2528558427e+02,2.0010779980e+00,7.9231625964e-01
4,2,5,2.2446520012e+02,2.2528558427e+02,2.2468887419e+02,2.2502500034e+02,7.9231625964e-01,5.2493699076e-01
5,1,7,2.2468887419e+02,2.2502500034e+02,2.2510175053e+02,2.2463063019e+02,5.2493699076e-01,-2.1279569124e-01
7,2,6,2.2510175053e+02,2.2463063019e+02,2.2485319999e+02,2.2487828810e+02,-2.1279569124e-01,6.7035337880e-02
6,2,7,2.2485319999e+02,2.2487828810e+02,2.2510177517e+02,2.2462996825e+02,6.7035337880e-02,-2.1284668507e-01
